tipster_id,sport_id,bookie_id,bet_type,sub_type,competition,event,pick,stake,odds,event_date,analysis,screenshot_path,status,result,profit
7,7,3,live,simple,Bundesliga,Bayern - Dortmund,Más de 2.5 goles,1.82,2.68,2023-09-19 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,7,pre_match,combined,Serie A,Juventus - AC Milan,Más de 2.5 goles,1.6,1.64,2023-09-12 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,1,live,simple,Premier League,Manchester City - Liverpool,Gana local,1.79,2.7,2023-09-06 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,2,long_term,simple,Clasificación Eurocopa,Real Madrid - Barcelona,Menos de 3.5 goles,1.54,2.48,2023-09-06 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,10,live,simple,LaLiga EA Sports,PSG - Marseille,Gana visitante,0.96,2.95,2023-09-25 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,-0.96,-0.96
7,7,5,long_term,combined,Ligue 1,Real Madrid - Barcelona,Empate,1.46,2.03,2023-09-04 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,1.5,1.5
7,7,5,long_term,simple,Clasificación Eurocopa,PSG - Marseille,Gana local,1.78,2.99,2023-09-17 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,9,live,combined,Clasificación Eurocopa,Bayern - Dortmund,Empate,1.67,2.39,2023-09-29 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,-1.67,-1.67
7,7,8,long_term,simple,Bundesliga,PSG - Marseille,Ambos marcan,1.12,1.59,2023-09-27 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,8,pre_match,combined,Premier League,Real Madrid - Barcelona,Menos de 3.5 goles,1.88,1.93,2023-09-22 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,9,long_term,simple,Serie A,Manchester City - Liverpool,Ambos marcan,1.6,2.97,2023-09-20 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,-1.6,-1.6
7,7,9,pre_match,combined,Serie A,Manchester City - Liverpool,Menos de 3.5 goles,1.26,1.59,2023-09-05 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,-1.26,-1.26
7,7,7,long_term,simple,Serie A,Bayern - Dortmund,Menos de 3.5 goles,0.87,2.87,2023-09-27 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,8,pre_match,simple,Bundesliga,PSG - Marseille,Ambos marcan,1.78,2.25,2023-09-19 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,2,long_term,combined,Ligue 1,Bayern - Dortmund,Más de 5.5 tiros de esquina,1.54,2.74,2023-09-25 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,-1.54,-1.54
7,7,5,long_term,simple,Champions League,Juventus - AC Milan,Más de 2.5 goles,1.78,2.23,2023-09-20 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,2.19,2.19
7,7,10,long_term,simple,Champions League,Bayern - Dortmund,Gana visitante,0.58,1.58,2023-09-26 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,3,live,simple,Champions League,Manchester City - Liverpool,Gana local,0.72,2.91,2023-09-11 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,1.38,1.38
7,7,7,long_term,combined,Champions League,Bayern - Dortmund,Gana visitante,0.85,1.92,2023-09-13 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,10,live,combined,Champions League,Juventus - AC Milan,Gana visitante,0.78,1.87,2023-09-18 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.68,0.68
7,7,10,pre_match,combined,Serie A,Manchester City - Liverpool,Más de 5.5 tiros de esquina,1.38,1.6,2023-09-16 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,9,live,combined,Premier League,Juventus - AC Milan,Menos de 3.5 goles,0.85,2.22,2023-09-09 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,6,live,combined,LaLiga EA Sports,Manchester City - Liverpool,Gana local,1.37,1.99,2023-09-11 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,5,long_term,simple,Bundesliga,Bayern - Dortmund,Más de 2.5 goles,0.69,2.74,2023-09-08 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,7,pre_match,simple,Clasificación Eurocopa,Bayern - Dortmund,Gana local,0.7,2.31,2023-09-01 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,-0.7,-0.7
7,7,6,live,combined,Clasificación Eurocopa,Real Madrid - Barcelona,Más de 2.5 goles,1.69,1.81,2023-09-11 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,-1.69,-1.69
7,7,10,long_term,combined,Bundesliga,PSG - Marseille,Gana visitante,1.78,2.44,2023-09-27 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,3,live,combined,Serie A,Real Madrid - Barcelona,Ambos marcan,1.02,1.62,2023-09-23 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,-1.02,-1.02
7,7,3,live,simple,Champions League,PSG - Marseille,Gana visitante,1.07,2.89,2023-09-02 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,2.02,2.02
7,7,3,pre_match,simple,Ligue 1,Real Madrid - Barcelona,Ambos marcan,0.87,1.53,2023-09-30 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,6,long_term,combined,Champions League,Bayern - Dortmund,Empate,0.8,1.71,2023-09-23 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,-0.8,-0.8
7,7,10,live,combined,Ligue 1,Real Madrid - Barcelona,Empate,0.89,2.2,2023-09-23 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,0.0,0.0
7,7,9,live,combined,Bundesliga,PSG - Marseille,Más de 2.5 goles,1.16,2.45,2023-09-17 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,-1.16,-1.16
7,7,7,pre_match,combined,Champions League,Manchester City - Liverpool,Ambos marcan,1.91,2.21,2023-09-20 00:00:00,Análisis generado automáticamente.,picks/1/placeholder.webp,pending,-1.91,-1.91
