tipster_id,sport_id,bookie_id,bet_type,sub_type,competition,event,pick,stake,odds,event_date,analysis,screenshot_path,status,result,profit
5,1,6,pre_match,simple,LaLiga EA Sports,Girona - Las Palmas,Daley Blind mas de 0.5 faltas,1.0,1.83,2023-09-03,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,10,pre_match,simple,LaLiga EA Sports,Girona - Las Palmas,Las Palmas mas de 8.5 tiros,1.0,2.0,2023-09-03,Análisis generado automáticamente.,picks/5/placeholder.webp,won,1.0,1.0
5,1,4,pre_match,simple,Clasificación Europeo U21,San Marino - Noruega,Noruega gana a 0 y marca en ambas partes,1.0,1.61,2023-09-07,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.61,0.61
5,1,6,pre_match,combined,Clasificación Europeo U21 Clasificación Eurocopa,San Marino u21 - Noruega u21  Dinamarca - San Marino,Segundo gol del partido entre el minuto 1 y el minuto 55 Segundo gol del partido entre el minuto 1 y el minuto 55,1.5,1.52,2023-09-07,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.78,0.78
5,1,7,pre_match,combined,Europeo U21 Clasificación Eurocopa,San Marino sub 21 - Noruega sub 21  Dinamarca - San Marino,Total individual 1: 0 goles Total individual 2: 0 goles,1.5,1.52,2023-09-07,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.78,0.78
5,1,2,pre_match,combined,Europeo U21 Clasificación Eurocopa,Georgia u21 - Gibraltar u21  Bosnia Herzegovina - Lietchtenstein,Ambos no marcan Ambos no marcan,1.0,1.91,2023-09-08,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,4,pre_match,simple,Clasificación Eurocopa,San Marino - Eslovenia,Eslovenia gana a 0 y Eslovenia marca en ambas partes,1.0,1.73,2023-09-10,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.73,0.73
5,1,10,pre_match,simple,Clasificación Eurocopa,Grecia - Gibraltar,Ambos no marcan y mas de 2.5 goels,1.0,1.6,2023-09-10,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.6,0.6
5,1,1,pre_match,combined,Clasificación Eurocopa Clasificación Eurocopa,Grecia - Gibraltar  San Marino - Eslovenia,Ambos no marcan Ambos no marcan,1.0,1.56,2023-09-10,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.56,0.56
5,1,4,pre_match,simple,Clasificación Eurocopa,Eslovaquia - Liechtenstein,Eslovaquia 6 o mas corners que Liechtenstein,1.0,1.64,2023-09-11,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,5,pre_match,combined,Clasificación Europeo U21 Clasificación Eurocopa,Rep. Irlanda - San Marino  San Marino - Eslovenia,San Marino no marca San Marino no marca,1.5,1.66,2023-09-12,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.99,0.99
5,1,5,pre_match,simple,Premier League,Fulham - Luton,Andreas Pereira 34 o mas pases,1.0,1.85,2023-09-16,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.85,0.85
5,1,7,pre_match,simple,Premier League,Fulham - Luton,Reed 47 o mas pases,1.0,1.85,2023-09-16,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,9,pre_match,simple,Premier League,Fulham - Luton,Tete 47 o mas pases,1.0,1.85,2023-09-16,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.85,0.85
5,1,3,pre_match,simple,LaLiga EA Sports,Getafe - Osasuna,Mas de 7.5 tarjetas,0.5,2.6,2023-09-17,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.8,0.8
5,1,8,pre_match,combined,LaLiga EA Sports,Valencia - Atletico  Frosinone - Sassuolo,Atlético gana o empata Frosinone portería a 0: NO,1.0,1.57,2023-09-17,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,4,pre_match,combined,LaLiga EA Sports LaLiga EA Sports,Celta - Mallorca  Granada - Girona,Mallorca mas de 5.5 remates Granada portería a 0: NO,1.0,1.62,2023-09-18,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.62,0.62
5,1,4,pre_match,simple,UEFA Champions League,Benfica - Salzburgo,"Crear apuesta: Salzbugo 1 o mas corners, Salzburgo mas de 6.5 remates y cada equipo 1 o mas tarjetas",1.0,1.61,2023-09-20,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.61,0.61
5,1,10,pre_match,combined,UEFA Champions League UEFA Champions League,Barcelona - Antwerp  Real Madrid - Union Berlin,Gana Barcelona Gana Madrid,1.0,1.66,2023-09-20,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.66,0.66
5,1,7,pre_match,combined,UEFA Europa League UEFA Europa League,Panathinaikos - Villarreal  Sturm Graz - Sporting de Portugal,Villarreal empata o gana Sporting empata o gana,1.0,1.7,2023-09-21,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,7,pre_match,combined,LaLiga EA Sports LaLiga EA Sports,Girona - Mallorca  Osasuna - Sevilla,Mallorca mas de 5.5 remates Mas de 1.5 goles,1.0,1.66,2023-09-23,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,4,pre_match,simple,Premier League,Luton Town - Wolverhampton,Kilman 90 o mas pases,0.25,6.0,2023-09-23,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-0.25,-0.25
5,1,10,pre_match,simple,Premier League,Luton Town - Wolverhampton,Lemina 55 o mas pases,1.0,1.84,2023-09-23,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,4,pre_match,simple,Premier League,Luton Town - Wolverhamtpon,Dawson 67 o mas pases,1.0,1.84,2023-09-23,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,9,pre_match,simple,Premier League,Sheffield - Newcastle,Schar 55 o mas pases completados,1.0,2.12,2023-09-24,Análisis generado automáticamente.,picks/5/placeholder.webp,won,1.12,1.12
5,1,1,pre_match,simple,LaLiga EA Sports,Rayo Vallecano - Villarreal,Mas de 35.5 saques de banda,1.0,1.87,2023-09-24,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,9,pre_match,combined,Premier League Serie A,Man City - Nottingham Forest  Milan - Verona,Gana el City Gana el Milan,1.0,1.58,2023-09-24,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.58,0.58
5,1,2,pre_match,simple,LaLiga EA Sports,Sevilla - Almeria,Centelles 1 o mas faltas,1.0,1.83,2023-09-26,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.83,0.83
5,1,6,pre_match,simple,La Liga EA Sports,Mallorca - Barcelona,Crear apuesta: Gana Barcelona + cada equipo 1 o mas tarjetas,1.0,1.74,2023-09-26,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,1,pre_match,simple,DFB Pokal,Munster - Bayern Munich,Ambos no marcan,1.5,1.5,2023-09-26,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.75,0.75
5,1,9,pre_match,simple,DFB Pokal,Wehen - Leipzig,Ambos no marcan,1.0,1.89,2023-09-27,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,9,pre_match,combined,LaLiga EA Sports LaLiga EA Sports,Real Madrid - Las Palmas  Osasuna - Atlético,Gana Real Madrid Atlético empata o gana,1.0,1.62,2023-09-28,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.62,0.62
5,1,9,pre_match,simple,LaLiga EA Sports,Betis - Valencia,Betis mas de 1.0 goles,1.0,1.56,2023-10-01,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.56,0.56
5,1,1,pre_match,combined,UEFA Champions League UEFA Champions League,Copenhague - Bayern Munich  Napoli - Real Madrid,Gana el Bayern Real Madrid marca,1.0,1.53,2023-10-03,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.53,0.53
5,1,5,pre_match,simple,UEFA Europa League,Betis - Sparta de Praga,Gana el Betis,1.0,1.72,2023-10-05,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.72,0.72
5,1,3,pre_match,combined,LaLiga EA Sports Premier League,Athletic Club - Almeria  Luton Town - Tottenham,Almeria mas de 6.5 remates Luton mas de 7.5 remates,1.0,1.7,2023-10-07,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,7,pre_match,simple,Premier League,Arsenal - Man City,Guardiol 1 o mas faltas,1.0,1.67,2023-10-08,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.67,0.67
5,1,10,pre_match,combined,LaLiga EA Sports LaLiga EA Sports,Atlético de Madrid - Real Sociedad  Granada - Barcelona,Real Sociedad gana con handicap +1.5 Granada mas de 7.5 remates,1.0,1.66,2023-10-08,Análisis generado automáticamente.,picks/5/placeholder.webp,lost,-1.0,-1.0
5,1,4,pre_match,simple,LaLiga EA Sports,Celta - Getafe,Mas de 5.5 tarjetas,1.0,1.7,2023-10-08,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.7,0.7
5,1,7,pre_match,combined,Clasificación Europeo U21 Clasificación Eurocopa,Turquia sub 21 - San Marino sub 21  Irlanda del Norte - San Marino,Ambos no marcan Ambos no marcan,1.0,1.67,2023-10-15,Análisis generado automáticamente.,picks/5/placeholder.webp,won,0.67,0.67
